List of files ,Subject
F.No.52(25)/2019-20/Pr.CCIT,International Yoga Day
F.No.52(7)/2019-20/Pr.CCIT,General Circulars /Circulars received from the board for Circulation.
F. No.8(1)/2019-20/Pr.CCIT,Technical Office Orders 0001 to 1000/Admin.Orders
F.No.121(2)/Misc/Admn./2019-20/Pr.CCIT,Miscellaneous /2019-20/Pr.CCIT
F.No.225(6)/2019-20/Pr.CCIT,Grant of permission for sports persons & other related matters
F.No.18(6)/2019-20/Pr.CCIT,Income tax Gazetted Officers Association
F.No.19(1)/2019-20/Pr.CCIT,Special Casual Leave/ ITEF/ITGOA/Other Association
F.NO IRS Asssociation/2019-20,IRS Accoiation related matters
F.No.91/2019-20/Pr.CCIT,Verification of Membership of ITEF 
F.No.59(13)/Report RTI/2019-20/Pr.CCIT,"Quarterly & Annual Report under RTI, 2019-20"
F.No.59(13)/Monthly Report/RTI/2019-20/Pr.CCIT,"Monthly Report under RTI Act, 2019-20"
F.No.23(1)/2019-20/Pr.CC,CRSCB Sports & Cultural Events
F.No.18(8)/2019-20/Pr.CCIT,"Income tax Sports & Recretion Club,Bengaluru"
F.No.67(2)/2019-20/PR.CCIt,Grant of Honorarium -Departmental Examination
F.No.52(2)/2019-20/Pr.CCIT,Armed Force Flag correspondence reg.
F.No.1/2019-20/Pr.CCIT,Retired Officers of the Dept.Correspondence Reg.
F.No.19(2)/SCL/2019-20,Grant of Sepcial Casual Leave -Family planning bandh/election/trekking/misc.
F.No.18(4)/2019-20,Staff Association correspondence
F.No.18(7)/2019-20,The Income tax Department SC/ST Empl.Kar & Goa
F.No.44(1)/Audit/2019-20,Internal Audit Correspondence.
F.No.55(1)/2019-20/Pr.CCIT,Centralisation of Service Records and related correspondence 
F.No.18(5)/2019-20/Pr.CCIT,RCM under JCM Scheme related matters
F.No.23(1)(a)/2019-20/Pr.CCIT,CRSCB All India Sports Meet related matters
RTI file,file relating to Hearing before CIC
F.No.59(13)/RTI/2019-20,Application under RTI Act.2005/Appeal matters 
3(4)/2019-20/Pr.CCIT,Compiling of Department Telphone Directory / Administrative Hand Book
3(7)/2019-20/Pr.CCIT,Management of EPABX Systems
3(10)/2019-20/Pr.CCIT,Installation & Maintenance of office & Residencial Telepones
3(11)/2019-20/Pr.CCIT,Allotment of Project Tarang Mobile Numbers and Data Cards and Coordination with agencies like BSNL
3(19)/2019-20/Pr.CCIT,Purchase of Computers and Peripherals
2(10)/2019-20/Pr.CCIT,PURCHASE OF RUBBER STAMPS
2(14)/2019-20/Pr.CCIT,"PURCHASE OF CARTRIDGE, CDs & SPIKE BUSTER"
50(1)/2019-20/Pr.CCIT,PURCHASE OF CROCKERY AND LINEN
50(2)/2019-20/Pr.CCIT,STATIONERY ITEMS
50(3)/2019-20/Pr.CCIT,PURCHASE OF BOOKS
50(12)/2019-20/Pr. CCIT,MISCELLANEOUS
54(5)/2019-20/Pr.CCIT.,PURCHASE OF NEWS PAPERS AND MAZINES 
54(10)/2019-20/Pr.CCIT,PURCHASE OF BRIEF CASE
61(1)/2019-20/Pr.CCIT,OUTSOURCING OF OFFICE ASSISTANTS
61(4)(2)/2019-20/Pr.CCIT,OUTSOURCING OF DATA ENTARY OPERATORS
61(8)/2019-20/Pr.CCIT,OUTSOURCING CORRESPONDENCE
68(1)/2019-20/Pr.CCIT,GRANT OF WAGES
229(2)/ITO(F&W)/2019-20/Pr.CCIT                               ,REVISION OF PENSION AS PER 7TH CPC.
43(1)/2019-20/Pr.CCIT,Reimbursement of Medical Claims
43(2)/2019-20/Pr.CCIT,Medical CS(MA) Rules Correspondance
